vintage_quarter,repo_full_name,clone_url,stars_at_discovery,archived_at_discovery,created_at_github,first_commit_date,snapshot_date,snapshot_sha,age_days_at_snapshot,is_young_partial,state_n_files,state_parsed_files,state_parse_rate,state_total_lines,state_n_functions,state_mean_comment_len,state_median_comment_len,state_p90_comment_len,state_mean_complexity,state_median_complexity,state_p90_complexity,state_mean_func_len,state_median_func_len,state_p90_func_len,state_mean_body_len,state_median_body_len,state_p90_body_len,state_mean_docstring_len,state_median_docstring_len,state_p90_docstring_len,state_frac_functions_with_docstring,flow_n_commits,flow_n_contributors,flow_mean_added_comment_len,flow_median_hunk_added,flow_mean_hunk_added,flow_median_added_code_lines_per_commit,flow_mean_added_code_lines_per_commit,flow_total_added_code_lines,flow_total_added_comment_lines,flow_total_added_blank_lines,flow_total_raw_added_lines,flow_total_raw_deleted_lines,flow_total_raw_n_files
2018Q1,psf/black,https://github.com/psf/black.git,41834,0,2018-03-14T19:54:45Z,2018-03-14T12:55:32-07:00,2018-09-10,6f5e1277e9f0270de30f732e6cba5077bb6cad26,180,0,20,20,1.0,91188,282,41.14848484848485,40.0,67,5.425531914893617,3.0,10,18.31560283687943,11.5,38,15.24468085106383,8.5,33,3.0709219858156027,1.0,8,0.723404255319149,250,23,44.17663817663818,2.3333333333333335,60.4036847053859,5.0,368.184,92046,351,1162,103053,7061,533
2018Q1,python-poetry/poetry,https://github.com/python-poetry/poetry.git,34296,0,2018-02-28T15:23:47Z,2018-02-20T16:47:42-05:00,2018-08-19,bc3b73440a2d498c49ea44b6ee34d4ba53a51dbf,180,0,145,145,1.0,15573,869,40.389396709323584,40,69,3.4683544303797467,1,9,13.867663981588032,5,36,13.409666283084004,5,34,0.4579976985040276,0,0,0.09666283084004602,452,21,43.66048237476809,2.1753846153846155,5.515135362914886,3.0,60.93141592920354,27541,1078,6325,46707,28413,1807
2018Q1,jaakkopasanen/AutoEq,https://github.com/jaakkopasanen/AutoEq.git,16204,0,2018-03-04T16:37:35Z,2018-03-04T18:37:36+02:00,2018-08-31,0e389f54ee1d738df021a6f9fc0bde45c79acf62,180,0,18,18,1.0,2807,70,31.46315789473684,26,62,5.871428571428571,3.0,10,34.614285714285714,25.0,73,32.48571428571429,22.0,70,2.1285714285714286,0.0,11,0.4714285714285714,98,2,37.28745644599303,3.3555555555555556,7.465996796864306,22.5,35.734693877551024,3502,574,500,4621,2458,147
2018Q1,pyodide/pyodide,https://github.com/pyodide/pyodide.git,14822,0,2018-02-23T19:21:29Z,2018-02-23T14:21:29-05:00,2018-08-22,56ef3a09605a0aff92d3d1923ec1197173fbc3cb,180,0,8,8,1.0,1049,72,39.93478260869565,39.5,69,2.0972222222222223,1.0,4,9.277777777777779,5.0,17,9.069444444444445,5.0,17,0.20833333333333334,0.0,0,0.05555555555555555,105,2,41.418772563176894,4.2407407407407405,63.780345272011935,0.0,21.923809523809524,2302,277,446,4957,2296,192
2018Q1,optuna/optuna,https://github.com/optuna/optuna.git,14765,0,2018-02-21T06:12:56Z,2018-01-11T16:27:19+09:00,2018-07-10,2124db1afaa6adb6c48f0e16a73430343464e2a0,180,0,24,24,1.0,3605,218,44.234177215189874,40.0,86,2.2522935779816513,1.0,5,11.711009174311927,7.0,24,11.247706422018348,7.0,24,0.463302752293578,0.0,0,0.05045871559633028,395,3,45.210191082802545,1.6818181818181819,5.541206782868115,2.0,15.521518987341771,6131,314,1605,13113,7016,782
2018Q1,gruns/icecream,https://github.com/gruns/icecream.git,10109,0,2018-02-13T18:56:12Z,2018-02-13T11:09:23-08:00,2018-08-12,6416021e708f7d4ce92e8f4daac1445e6b3dd0f9,180,0,2,2,1.0,613,35,29.27777777777778,22.0,71,2.8857142857142857,2,6,13.285714285714286,7,27,12.314285714285715,7,26,0.9714285714285714,0,1,0.11428571428571428,48,4,38.46551724137931,1.0,2.267708687010158,1.0,8.729166666666666,419,116,91,1058,454,62
2018Q1,AirtestProject/Airtest,https://github.com/AirtestProject/Airtest.git,9551,0,2018-01-24T04:00:35Z,2018-01-24T12:00:12+08:00,2018-07-23,1f8acc45e8a88a4ed23927f888a12e36755d3dd9,180,0,69,69,1.0,9633,604,34.23217922606925,30,67,2.4403973509933774,1.0,5,12.867549668874172,10.0,29,8.857615894039736,5.0,21,4.009933774834437,1.0,11,0.5132450331125827,190,16,34.98550724637681,1.6515151515151516,3.846183470746661,3.0,13.694736842105263,2602,138,431,3478,2117,358
2018Q1,OlafenwaMoses/ImageAI,https://github.com/OlafenwaMoses/ImageAI.git,8883,0,2018-03-19T23:12:33Z,2018-03-20T00:12:34+01:00,2018-09-16,a9ff751e0223e798c81d5c7db9cce96ca754f3ce,180,0,68,68,1.0,10965,322,38.53875968992248,34.0,66,4.381987577639752,1.0,7,28.96894409937888,11.0,64,22.562111801242235,8.0,44,6.406832298136646,0.0,23,0.40062111801242234,25,3,31.625,23.627906976744185,63.313119232188996,107.0,356.88,8922,328,2649,12567,3790,107
2018Q1,Kaggle/kaggle-cli,https://github.com/Kaggle/kaggle-cli.git,7535,0,2018-01-25T03:02:39Z,2018-01-25T16:28:55+11:00,2018-07-24,010502522050ebe87ade61e7a3219f969affaf43,180,0,18,18,1.0,8318,321,38.22134387351779,41,69,3.2679127725856696,2,8,20.052959501557634,10,56,15.63551401869159,5,52,4.417445482866044,1,14,0.6230529595015576,43,10,37.727138643067846,3.1,5.0148904290531195,7.0,174.53488372093022,7505,678,1198,9468,4248,135
2018Q1,Drakkar-Software/OctoBot,https://github.com/Drakkar-Software/OctoBot.git,6543,0,2018-02-23T23:13:05Z,2018-02-23T23:13:05+00:00,2018-08-22,eec315eb257f478b048e58026784cd8027f350f8,180,0,113,113,1.0,11052,1079,36.99605522682446,31,75,2.19740500463392,1,5,7.126042632066729,3,16,7.126042632066729,3,16,0,0,0,0.0,1383,4,40.96329859537834,2.25,5.294246739031861,6.0,22.297903109182936,30838,2207,6207,59679,42464,3913
