repo_full_name,vintage_quarter,snapshot_sha,total_commits,ai_commits,ai_commit_fraction,tools_matched,first_ai_commit_date,marker_files_found
lancopku/pkuseg-python,2018Q3,f3f2d151d2224637a001888f62d6b8a97c4dfc0d,84,0,0.0,,,
open-mmlab/mmcv,2018Q3,c8c3493868e5363e2b118944b199f11e7cb4f0b4,129,0,0.0,,,
huggingface/transformers,2018Q4,b832d5bb8a6dfc5965015b828e577677eace601e,770,0,0.0,,,
fastapi/fastapi,2018Q4,e2fadcbc90fcffadfb4384396cfbd3b121053948,492,0,0.0,,,
sherlock-project/sherlock,2018Q4,d35675457d77808a9902bb226add992eaa63f38f,354,0,0.0,,,
gradio-app/gradio,2018Q4,ef5ac8a2ad24c8b570ba0e1e94efe861ba4f5d20,154,0,0.0,,,
jax-ml/jax,2018Q4,5d1c014509d429001181ff7ffcfcb54bd6aa907d,1690,0,0.0,,,
d2l-ai/d2l-en,2018Q4,96e53035694d839db38e34f86dda65bdc21bfe58,709,0,0.0,,,
jantic/DeOldify,2018Q4,334030a0983333293f969664f9147a11e8dfd0d4,118,0,0.0,,,
pypa/pipx,2018Q4,08e23b3503bd253b1819a9bc7b0caa25edd96a7b,164,0,0.0,,,
goldmansachs/gs-quant,2018Q4,b3c0f49b8bb4b4acee7667c509d524e24f6f8e7e,61,0,0.0,,,
openai/spinningup,2018Q4,97c8c342c45e5bb51005a8515df23ba9c48f0782,45,0,0.0,,,
huggingface/pytorch-image-models,2019Q1,15e66863b1df7ecfaea0d3368d902ba7c246d5dc,159,0,0.0,,,
Lightning-AI/pytorch-lightning,2019Q1,1d7ffd11daad9a6fe66bb9d7572afb28a7aa3802,1451,0,0.0,,,
NVIDIA/Megatron-LM,2019Q1,93ab4bea59dc5cbf97c079d313741866af4deac9,9,0,0.0,,,
qubvel-org/segmentation_models.pytorch,2019Q1,f70502e92e26e3ba9d7ffc92fcf2f97667e017a3,80,0,0.0,,,
kernc/backtesting.py,2019Q1,8e2bfb53220c9a67c33a5c8b60a92d33f2128f43,48,0,0.0,,,
reactive-python/reactpy,2019Q1,c57e90f05321f2672ef3659784a6553330caaacb,129,0,0.0,,,
smacke/ffsubsync,2019Q1,d9798a5d47e1a921c178b8922b7e30374b186e12,93,0,0.0,,,
hacs/integration,2019Q1,4176b50896f0d51e260704e0aab45a6d60676213,298,0,0.0,,,
