dependency_name,fan_in
requests-cache,3
jupyter-core,3
requests-futures,3
pymsgbox,3
gitdb2,3
gitignore-parser,3
base58,3
plexapi,3
pure-eval,3
altgraph,3
pick,3
azure-keyvault-secrets,3
phonenumbers,3
azure-search-documents,3
graphene,3
pylatexenc,3
scalar-fastapi,3
south,3
lancedb,3
responses,3
blessed,3
alabaster,3
hjson,3
word2number,3
srt,3
g4f,3
blendmodes,3
iniconfig,3
hf-transfer,3
rq,3
kubernetes,3
simplegeneric,3
google-cloud-core,3
sqlglot,3
astunparse,3
kokoro,3
pytelegrambotapi,3
rapidocr-onnxruntime,3
qtpy,3
executing,3
nvidia-nvjitlink-cu12,3
nvidia-nccl-cu12,3
tree-sitter-java,3
mysql-connector-python,3
python-socks,3
dacite,3
twython,3
mdit-py-plugins,3
eva-decord,3
eval-type-backport,3
cohere,3
nbclient,3
cmake,3
matplotlib-inline,3
entrypoints,3
typeguard,3
nvidia-cusparse-cu12,3
nvidia-cusolver-cu12,3
fabric,3
tb-nightly,3
taming-transformers-rom1504,3
nvidia-cufft-cu12,3
tree-sitter-c-sharp,3
opentelemetry-instrumentation,3
nvidia-cudnn-cu12,3
claude-agent-sdk,3
pytube,3
pypandoc,3
tensorflow-gpu,3
mistralai,3
pytest-pep8,3
easygui,3
pyrsistent,3
thefuzz,3
dulwich,3
mpmath,3
dynaconf,3
pyscreeze,3
coveralls,3
e2b,3
tree-sitter-typescript,3
pysha3,3
python-editor,3
msgpack-python,3
coremltools,3
easyocr,3
emoji,3
msrestazure,3
mmcv,3
trimesh,3
tree-sitter-languages,3
docker-pycreds,3
oauth-cli-kit,3
triton-windows,3
openai-whisper,3
customtkinter,3
configargparse,3
test-tube,3
elevenlabs,3
pyquery,3
tyro,3
together,3
torchao,3
deepdiff,3
llvmlite,3
cchardet,3
deepl,3
lion-pytorch,3
ccxt,3
opentelemetry-instrumentation-openai,3
pywinauto,3
nvidia-cuda-cupti-cu12,3
llama-hub,3
opentelemetry-proto,3
ultralytics,3
nvidia-cublas-cu12,3
torchdata,3
torchtext,3
optax,3
numpydoc,3
datasketch,3
torchcodec,3
optuna,3
opt-einsum,3
unidic-lite,3
chex,3
nvidia-cuda-runtime-cu12,3
lxml-html-clean,3
django-filter,3
fastembed,3
pystray,3
cartopy,3
fastjsonschema,3
fasteners,3
pytest-flask,3
filterpy,3
descript-audio-codec,3
firecrawl-py,3
pyotp,3
supervision,3
pulp,2
nibabel,2
nh3,2
pytablewriter,2
isoduration,2
imagehash,2
pygit2,2
pyshp,2
nemo-text-processing,2
psycopg2cffi,2
pysbd,2
motor,2
mouseinfo,2
sconf,2
pynini,2
pyngrok,2
notebook,2
msal,2
pyserial,2
itchat,2
psycopg-binary,2
jaconv,2
msgpack-numpy,2
ijson,2
msrest,2
psycopg-pool,2
pyexcel-xlsx,2
rustbpe,2
munch,2
pyspellchecker,2
pykakasi,2
pymatting,2
nano-vectordb,2
insightface,2
pyside6-essentials,2
inputimeout,2
python-coveralls,2
pydantic-extra-types,2
immutabledict,2
scandir,2
pytest-env,2
nvidia-cuda-nvcc-cu12,2
nvidia-cuda-nvrtc-cu12,2
injector,2
nvidia-curand-cu12,2
sanic-cors,2
pytest-forked,2
pytest-runner,2
pycodestyle,2
namedlist,2
pychromecast,2
py-bcrypt,2
pyaes,2
numpydantic,2
ipyleaflet,2
pyicu,2
pyside6,2
pymunk,2
pyside6-addons,2
pycountry,2
py7zr,2
murmurhash,2
pycaw,2
nvidia-nvtx-cu12,2
ipaddr,2
pyaml,2
pybase16384,2
pymdown-extensions,2
mysqlclient,2
nakuru-project-idk,2
imgkit,2
motmetrics,2
pyre-extensions,2
rlp,2
propcache,2
opentelemetry-instrumentation-logging,2
pywebview,2
pdfminer,2
pyobjc-framework-launchservices,2
lru-dict,2
opentelemetry-instrumentation-httpx,2
pyowm,2
lycoris-lora,2
m2crypto,2
macholib,2
opentelemetry-instrumentation-fastapi,2
pep8-naming,2
pytorch-warmup,2
opentelemetry-exporter-otlp-proto-grpc,2
kui,2
opentelemetry-exporter-otlp-proto-common,2
markitdown,2
pg8000,2
marko,2
opentelemetry-distro,2
phonemizer,2
maxminddb,2
pika,2
rembg,2
python3-saml,2
logbook,2
langchain-google-vertexai,2
patsy,2
pyobjc-framework-vision,2
libtmux,2
lazy-object-proxy,2
liger-kernel,2
linkify-it-py,2
nodeenv,2
pyzstd,2
lap,2
raven,2
llama-cpp-python,2
paddlepaddle-gpu,2
langgraph-checkpoint-postgres,2
pyobjc-framework-quartz,2
langchain-huggingface,2
llama-index-vector-stores-faiss,2
pandocfilters,2
pyworld,2
langfuse,2
opentelemetry-instrumentation-requests,2
parse,2
langchain-postgres,2
parsedatetime,2
lm-dataformat,2
lm-eval,2
opentelemetry-instrumentation-redis,2
openinference-instrumentation-openai,2
replicate,2
keras-preprocessing,2
pretty-errors,2
mlx-lm,2
openai-harmony,2
open3d,2
qtconsole,2
python-igraph,2
python-frontmatter,2
praat-parselmouth,2
python-engineio,2
preshed,2
presidio-analyzer,2
presidio-anonymizer,2
revchatgpt,2
polygraphy,2
pyobjc-framework-applicationservices,2
jsbeautifier,2
js2py,2
pyrect,2
progressbar,2
pyrender,2
progressbar2,2
onnx-simplifier,2
promise,2
rlcard,2
pyrootutils,2
portkey-ai,2
openaiauth,2
openinference-instrumentation-litellm,2
jupyterlab-server,2
pkginfo,2
kenlm,2
pkuseg,2
requests-aws4auth,2
pyqt-fluent-widgets,2
jwcrypto,2
pyqt6,2
justext,2
mem0ai,2
memory-profiler,2
python-redis-lock,2
playsound,2
mlflow,2
python-rapidjson,2
jupyterlab-pygments,2
pyqt6-sip,2
miniupnpc,2
mistral-common,2
resemble-perth,2
opencc-python-reimplemented,2
python-magic-bin,2
polars,2
policyuniverse,2
ml-dtypes,2
icetk,2
norbert,2
shellingham,2
