repo,quarter,pooled_n_commits,pooled_n_contributors,pooled_mean_added_comment_len,pooled_median_hunk_added,pooled_mean_hunk_added,pooled_median_added_code_lines_per_commit,pooled_mean_added_code_lines_per_commit,pooled_total_added_code_lines,pooled_total_added_comment_lines,pooled_total_added_blank_lines,pooled_total_raw_added_lines,pooled_total_raw_deleted_lines,pooled_total_raw_n_files,excltop_n_commits,excltop_n_contributors,excltop_mean_added_comment_len,excltop_median_hunk_added,excltop_mean_hunk_added,excltop_median_added_code_lines_per_commit,excltop_mean_added_code_lines_per_commit,excltop_total_added_code_lines,excltop_total_added_comment_lines,excltop_total_added_blank_lines,excltop_total_raw_added_lines,excltop_total_raw_deleted_lines,excltop_total_raw_n_files,top_contributor,top_contributor_share_overall
scikit-learn,2025Q4,179,53,56.08629441624365,2.0,3.1358354464533096,3.0,16.033519553072626,2870,197,267,7628,4515,437,179,53,56.08629441624365,2.0,3.1358354464533096,3.0,16.033519553072626,2870,197,267,7628,4515,437,Guillaume Lemaitre,0.042100320838876285
scikit-learn,2026Q1,145,51,54.74782608695652,2.0,3.249899550660448,3.0,33.88275862068966,4913,345,528,12322,6023,563,145,51,54.74782608695652,2.0,3.249899550660448,3.0,33.88275862068966,4913,345,528,12322,6023,563,Guillaume Lemaitre,0.042100320838876285
scikit-learn,2026Q2,209,71,56.319327731092436,2.5625,3.3650338626151632,4.0,33.229665071770334,6945,595,1026,16712,6328,671,202,70,56.29202037351443,2.5833333333333335,3.3950964786904057,4.0,33.93069306930693,6854,589,1016,15999,5928,641,Guillaume Lemaitre,0.042100320838876285
matplotlib,2014Q1,209,55,43.388625592417064,2.0,5.690185080324153,2.0,14.679425837320574,3068,211,482,6036,3729,280,209,55,43.388625592417064,2.0,5.690185080324153,2.0,14.679425837320574,3068,211,482,6036,3729,280,Antony Lee,0.1698370203372317
matplotlib,2014Q2,192,53,39.1,2.0,4.810132604763094,3.0,23.489583333333332,4510,420,877,7654,4812,300,192,53,39.1,2.0,4.810132604763094,3.0,23.489583333333332,4510,420,877,7654,4812,300,Antony Lee,0.1698370203372317
matplotlib,2014Q3,349,60,47.30072463768116,1.5,3.120608307726018,1.0,8.965616045845271,3129,276,456,9731,6783,1000,342,59,47.17948717948718,1.5,3.1300014003455834,1.0,9.043859649122806,3093,273,448,9667,6737,992,Antony Lee,0.1698370203372317
matplotlib,2014Q4,446,64,45.76780185758514,2.0,3.1473566280143572,1.0,8.221973094170403,3667,323,552,12331,7467,1463,446,64,45.76780185758514,2.0,3.1473566280143572,1.0,8.221973094170403,3667,323,552,12331,7467,1463,Antony Lee,0.1698370203372317
matplotlib,2015Q1,374,69,43.5,1.5,2.9162528999763344,2.0,7.660427807486631,2865,278,301,4922,5715,573,374,69,43.5,1.5,2.9162528999763344,2.0,7.660427807486631,2865,278,301,4922,5715,573,Antony Lee,0.1698370203372317
matplotlib,2015Q2,270,53,45.98672566371681,1.3333333333333333,2.950320185252545,3.0,13.596296296296297,3671,226,548,6345,3314,616,266,52,45.98672566371681,1.3333333333333333,2.9729590231961738,3.0,13.774436090225564,3664,226,547,6307,3281,611,Antony Lee,0.1698370203372317
matplotlib,2015Q3,676,68,47.613376835236544,2.0,4.431310851345783,1.0,14.650887573964496,9904,613,783,18550,11233,859,673,67,47.545909849749584,2.0,4.353422343679209,1.0,14.49777117384844,9757,599,748,18354,11083,855,Antony Lee,0.1698370203372317
matplotlib,2015Q4,665,63,46.46138211382114,2.0,4.603014777145378,2.0,14.10827067669173,9382,492,1029,20153,14473,1242,652,62,46.75946547884187,2.0,4.546466182839064,2.0,13.874233128834355,9046,449,1005,19747,14158,1224,Antony Lee,0.1698370203372317
matplotlib,2016Q1,428,58,45.91634980988593,2.0,6.3320580338869314,2.0,13.212616822429906,5655,263,553,8840,6262,670,416,57,45.650205761316876,2.0,6.442807781437496,2.0,13.461538461538462,5600,243,553,8643,6150,653,Antony Lee,0.1698370203372317
matplotlib,2016Q2,400,61,44.443661971830984,1.6666666666666667,7.950903668240724,1.0,13.7675,5507,284,421,9352,8380,1097,346,60,44.681102362204726,1.9,9.094571597889656,1.0,13.369942196531792,4626,254,363,8058,7161,938,Antony Lee,0.1698370203372317
matplotlib,2016Q3,488,67,44.532051282051285,2.0,3.4158687449055027,1.0,7.120901639344262,3475,156,371,9094,6535,672,460,66,42.46456692913386,2.0,3.493777507112399,1.0,7.052173913043478,3244,127,357,8784,6249,637,Antony Lee,0.1698370203372317
matplotlib,2016Q4,573,58,44.148936170212764,1.5,2.8193431647469587,2.0,11.991273996509598,6871,329,597,16965,16207,1588,529,57,43.63568773234201,1.5,2.930244318375551,1.0,10.2117202268431,5402,269,528,14736,12654,1219,Antony Lee,0.1698370203372317
matplotlib,2017Q1,719,67,48.067873303167424,1.75,4.471907551721811,0.0,9.058414464534074,6513,442,951,25902,25590,1479,662,66,46.8379746835443,1.8,4.697776106389725,0.0,9.081570996978853,6012,395,933,24979,24492,1295,Antony Lee,0.1698370203372317
matplotlib,2017Q2,316,55,45.71233937141972,1.6666666666666667,13.75216260808938,1.0,23.126582278481013,7308,6459,2842,42626,32827,1578,266,54,45.53364854215918,1.7142857142857142,16.360750992191576,1.0,23.469924812030076,6243,6345,2702,32703,21540,1290,Antony Lee,0.1698370203372317
