name,found,repository_url,downloads,stargazers_count,forks_count,subscribers_count,open_issues_count,total_committers,total_commits,archived
opentelemetry-instrumentation,True,https://github.com/open-telemetry/opentelemetry-python-contrib,282938802.0,1091.0,1047.0,24.0,657.0,215.0,1631.0,False
opentelemetry-instrumentation-asyncio,True,https://github.com/open-telemetry/opentelemetry-python-contrib,5014567.0,1091.0,1049.0,23.0,663.0,215.0,1631.0,False
opentelemetry-instrumentation-langchain,True,https://github.com/traceloop/openllmetry,3054364.0,7414.0,1066.0,20.0,668.0,52.0,836.0,False
opentelemetry-instrumentation-openai,True,https://github.com/traceloop/openllmetry,3242101.0,7414.0,1066.0,20.0,668.0,52.0,836.0,False
opentelemetry-proto,True,https://github.com/open-telemetry/opentelemetry-python,361639529.0,2616.0,991.0,40.0,401.0,278.0,1801.0,False
opentelemetry-resourcedetector-gcp,True,https://github.com/open-telemetry/opentelemetry-python-contrib,19255240.0,1091.0,1049.0,23.0,663.0,215.0,1631.0,False
opentelemetry-sdk,True,https://github.com/open-telemetry/opentelemetry-python,376266703.0,2603.0,984.0,40.0,399.0,278.0,1801.0,False
opentelemetry-semantic-conventions,True,https://github.com/open-telemetry/opentelemetry-python,486639845.0,2616.0,991.0,40.0,401.0,278.0,1801.0,False
opentelemetry-semantic-conventions-ai,True,,13217129.0,361.0,233.0,44.0,564.0,,,False
openviking-sdk,True,,156.0,,,,,,,
opt-einsum,True,,22357599.0,906.0,73.0,19.0,34.0,29.0,318.0,False
optuna,True,https://github.com/optuna/optuna,16727817.0,14731.0,1384.0,122.0,17.0,331.0,13886.0,False
ordered-set,True,https://github.com/rspeer/ordered-set,31132376.0,231.0,52.0,27.0,17.0,20.0,126.0,False
ordereddict,True,,245442.0,,,,,,,
orjson,True,https://github.com/ijl/orjson,205575727.0,8219.0,333.0,37.0,0.0,25.0,687.0,False
oscrypto,True,https://github.com/wbond/oscrypto,18289848.0,341.0,79.0,24.0,18.0,14.0,675.0,False
oslo-config,True,,1659068.0,,,,,,,
osmnx,True,https://github.com/gboeing/osmnx,581400.0,5837.0,892.0,108.0,2.0,88.0,2841.0,False
oss2,True,,13443421.0,905.0,364.0,33.0,102.0,,,False
overrides,True,https://github.com/mkorpela/overrides,33880502.0,270.0,33.0,4.0,15.0,18.0,291.0,False
packaging,True,https://github.com/pypa/packaging,1987099613.0,748.0,316.0,26.0,99.0,125.0,639.0,False
paddlepaddle-gpu,True,https://github.com/paddlepaddle/paddle,29919.0,24072.0,6020.0,706.0,1501.0,1117.0,44676.0,False
paddleslim,True,,7539.0,,,,,,,
paho-mqtt,True,,8812888.0,2172.0,723.0,80.0,97.0,,,False
pandarallel,True,https://github.com/nalepae/pandarallel,506068.0,3799.0,213.0,27.0,99.0,26.0,164.0,False
pandas,True,https://github.com/pandas-dev/pandas,755370702.0,43640.0,17915.0,1109.0,3671.0,3550.0,31576.0,False
pandas-profiling,True,https://github.com/ydataai/pandas-profiling,329428.0,12108.0,1635.0,151.0,231.0,124.0,1103.0,False
pandas-summary,True,https://github.com/mouradmourafiq/pandas-summary,114437.0,534.0,47.0,9.0,7.0,103.0,9697.0,False
parakeet-mlx,True,https://github.com/senstella/parakeet-mlx,30534.0,472.0,38.0,14.0,9.0,,,False
paramiko,True,https://github.com/paramiko/paramiko,129996000.0,9844.0,2074.0,317.0,1189.0,198.0,2881.0,False
parsedatetime,True,https://github.com/bear/parsedatetime,30506135.0,711.0,112.0,23.0,70.0,56.0,316.0,False
parsel,True,https://github.com/scrapy/parsel,4415993.0,1352.0,168.0,34.0,31.0,51.0,629.0,False
parsimonious,True,https://github.com/erikrose/parsimonious,6218282.0,1916.0,138.0,35.0,75.0,33.0,254.0,False
parso,True,https://github.com/davidhalter/parso,108202798.0,679.0,119.0,17.0,10.0,48.0,1068.0,False
partial-json-parser,True,https://github.com/promplate/partial-json-parser,6072893.0,137.0,9.0,2.0,4.0,,,False
passlib,True,,38295841.0,,,,,,,
patchright,True,https://github.com/Kaliiiiiiiiii-Vinyzu/patchright-python,4016003.0,1234.0,87.0,20.0,3.0,,,False
pathlib,True,https://bitbucket.org/pitrou/pathlib,5425510.0,,,,,,,
pathlib2,True,https://github.com/jazzband/pathlib2,4230552.0,86.0,30.0,5.0,7.0,14.0,458.0,False
pathspec,True,https://github.com/cpburnz/python-pathspec,647936736.0,233.0,57.0,4.0,9.0,26.0,213.0,False
pathvalidate,True,https://github.com/thombashi/pathvalidate,16535372.0,296.0,18.0,5.0,9.0,10.0,1199.0,False
paxml,True,https://github.com/google/paxml,10758.0,558.0,72.0,13.0,31.0,109.0,1513.0,False
pbr,True,,27985853.0,0.0,0.0,,0.0,163.0,788.0,False
pdf2image,True,https://github.com/Belval/pdf2image,19569706.0,1981.0,208.0,19.0,83.0,28.0,184.0,False
pdfminer-six,True,https://github.com/pdfminer/pdfminer.six,58033638.0,7020.0,1042.0,111.0,234.0,131.0,833.0,False
pdfplumber,True,https://github.com/jsvine/pdfplumber,45799182.0,10710.0,917.0,106.0,100.0,29.0,490.0,False
pdoc,True,https://github.com/mitmproxy/pdoc,1922513.0,2512.0,228.0,32.0,71.0,57.0,976.0,False
pecan,True,https://github.com/pecan/pecan,175874.0,108.0,38.0,14.0,5.0,53.0,994.0,False
pedalboard,True,https://github.com/spotify/pedalboard,1121097.0,6284.0,350.0,62.0,146.0,34.0,637.0,False
peewee,True,https://github.com/coleifer/peewee,47938716.0,10779.0,1362.0,197.0,0.0,150.0,4307.0,False
pefile,True,https://github.com/erocarrera/pefile,7390786.0,2061.0,541.0,72.0,66.0,81.0,499.0,False
peft,True,https://github.com/huggingface/peft,12133812.0,21620.0,2471.0,113.0,80.0,212.0,1048.0,False
pendulum,True,https://github.com/sdispater/pendulum,65303724.0,6672.0,446.0,64.0,267.0,99.0,745.0,False
pep8,True,https://github.com/PyCQA/pep8,1359501.0,5166.0,755.0,108.0,105.0,141.0,1142.0,False
permchain,True,https://github.com/langchain-ai/permchain,2917.0,36116.0,6046.0,165.0,593.0,112.0,2947.0,False
perplexityai,True,https://github.com/perplexityai/perplexity-py,1053156.0,68.0,23.0,6.0,8.0,,,False
pew,True,https://github.com/berdario/pew,2743.0,1167.0,81.0,31.0,53.0,47.0,348.0,False
pexpect,True,https://github.com/pexpect/pexpect,147139006.0,2848.0,495.0,85.0,170.0,112.0,1351.0,False
pgvector,True,https://github.com/pgvector/pgvector-python,33083720.0,1520.0,93.0,15.0,4.0,2.0,85.0,False
phonenumbers,True,https://github.com/daviddrysdale/python-phonenumbers,37010343.0,3768.0,442.0,82.0,12.0,28.0,1500.0,False
pickleshare,True,https://github.com/pickleshare/pickleshare,13313230.0,73.0,24.0,7.0,7.0,12.0,65.0,False
piexif,True,https://github.com/hMatoba/Piexif,2681050.0,369.0,82.0,17.0,55.0,12.0,305.0,False
pikepdf,True,https://github.com/pikepdf/pikepdf,10375363.0,2799.0,231.0,37.0,23.0,51.0,2647.0,False
pillow,True,https://github.com/python-pillow/Pillow,474328873.0,12226.0,2226.0,220.0,122.0,491.0,12692.0,False
pinecone-client,True,,1078015.0,255.0,66.0,26.0,27.0,,,False
pint,True,https://github.com/hgrecco/pint,7920108.0,2266.0,449.0,42.0,308.0,207.0,2028.0,False
pip,True,https://github.com/pypa/pip,557140785.0,10275.0,3366.0,316.0,951.0,820.0,11049.0,False
pip-tools,True,https://github.com/jazzband/pip-tools,14514371.0,8009.0,671.0,94.0,179.0,194.0,1500.0,False
pipmaster,True,https://github.com/ParisNeo/pipmaster,252026.0,,,,,,,
pkginfo,True,,86692494.0,,,,,,,
platformdirs,True,https://github.com/tox-dev/platformdirs,733333120.0,981.0,87.0,9.0,1.0,80.0,422.0,False
playsound,True,https://github.com/TaylorSMarks/playsound,106439.0,548.0,128.0,11.0,75.0,8.0,77.0,False
playsound3,True,https://github.com/sjmikler/playsound3,59200.0,5.0,0.0,2.0,1.0,,,False
playwright,True,https://github.com/microsoft/playwright-python,96619184.0,14963.0,1219.0,154.0,11.0,43.0,884.0,False
playwright-stealth,True,https://github.com/Mattwmaster58/playwright_stealth,2020042.0,672.0,89.0,15.0,27.0,,,False
plotly,True,https://github.com/plotly/plotly.py,58850144.0,18761.0,2837.0,274.0,700.0,299.0,5743.0,False
plotnine,True,https://github.com/has2k1/plotnine,3150245.0,4758.0,252.0,63.0,85.0,106.0,1798.0,False
pluggy,True,https://github.com/pytest-dev/pluggy,1086734943.0,1684.0,157.0,19.0,54.0,54.0,575.0,False
plumbum,True,https://github.com/tomerfiliba/plumbum,5224491.0,3051.0,210.0,44.0,140.0,122.0,1138.0,False
ply,True,,34983920.0,,,,,,,
plyer,True,https://github.com/kivy/plyer,254717.0,1532.0,415.0,91.0,169.0,97.0,829.0,False
plyfile,True,https://github.com/dranjan/python-plyfile,1046894.0,479.0,81.0,19.0,0.0,9.0,302.0,False
pocketbase,True,https://github.com/vaphes/pocketbase,56450.0,542.0,62.0,8.0,16.0,4.0,39.0,False
pocketsphinx,True,https://github.com/cmusphinx/pocketsphinx,466251.0,4333.0,732.0,152.0,58.0,32.0,2197.0,False
polyglot,True,https://github.com/aboSamoor/polyglot,71899.0,2361.0,338.0,70.0,170.0,28.0,234.0,False
pooch,True,https://github.com/fatiando/pooch,14986027.0,736.0,90.0,14.0,54.0,48.0,292.0,False
portalocker,True,https://github.com/wolph/portalocker,55417097.0,326.0,56.0,8.0,1.0,26.0,344.0,False
portpicker,True,https://github.com/google/python_portpicker,3031001.0,149.0,60.0,11.0,3.0,13.0,63.0,True
posthog,True,https://github.com/posthog/posthog-python,43267427.0,61.0,78.0,6.0,6.0,31.0,173.0,False
pprintpp,True,https://github.com/wolever/pprintpp,9600702.0,413.0,19.0,7.0,11.0,,,False
